"weevil"	"sex"	"date"	"time"	"season"	"tree"	"body_length"	"num_mates"	"total_cop"	"mean_fit"	"rel_fit"	"neigh_mean_blength"	"sex_ratio"	"density"	"dummy"	"region"
"29"	"F"	"22/11/2013"	"14:00:00"	"pre"	"42"	21.28	0	0	1.05925925925926	0	30.52	0.666666666666667	6	"b"	"b"
"30"	"F"	"22/11/2013"	"14:00:00"	"pre"	"42"	30.52	0	0	1.05925925925926	0	21.28	0.666666666666667	6	"a"	"a"
"33"	"F"	"23/11/2013"	"12:30:00"	"pre"	"53"	26.45	1	1	1.05925925925926	0.944055944055944	24.09	0.5	6	"b"	"c"
"42"	"F"	"23/11/2013"	"12:30:00"	"pre"	"53"	22.28	0	0	1.05925925925926	0	26.175	0.5	6	"b"	"c"
"54"	"F"	"23/11/2013"	"12:30:00"	"pre"	"53"	25.9	0	0	1.05925925925926	0	24.365	0.5	6	"a"	"a"
"37"	"F"	"23/11/2013"	"14:00:00"	"pre"	"52"	22.23	0	0	1.05925925925926	0	29.135	0.625	8	"c"	"a"
"34"	"F"	"23/11/2013"	"14:00:00"	"pre"	"52"	34.21	2	3	1.05925925925926	1.88811188811189	23.145	0.625	8	"b"	"c"
"17"	"F"	"23/11/2013"	"14:00:00"	"pre"	"52"	24.06	1	1	1.05925925925926	0.944055944055944	28.22	0.625	8	"c"	"b"
"9"	"F"	"23/11/2013"	"15:30:00"	"pre"	"5"	28.48	0	0	1.05925925925926	0	25.03	0.666666666666667	6	"c"	"a"
"56"	"F"	"23/11/2013"	"15:30:00"	"pre"	"5"	25.03	0	0	1.05925925925926	0	28.48	0.666666666666667	6	"a"	"a"
"67"	"F"	"25/11/2013"	"12:24:00"	"pre"	"31"	28.75	1	4	1.05925925925926	0.944055944055944	21.46	0.5	4	"b"	"c"
"76"	"F"	"25/11/2013"	"12:24:00"	"pre"	"31"	21.46	0	0	1.05925925925926	0	28.75	0.5	4	"c"	"c"
"77"	"F"	"25/11/2013"	"13:45:00"	"pre"	"5"	28.98	1	1	1.05925925925926	0.944055944055944	22.3	0.6	5	"a"	"c"
"78"	"F"	"25/11/2013"	"13:45:00"	"pre"	"5"	22.3	2	2	1.05925925925926	1.88811188811189	28.98	0.6	5	"a"	"a"
"69"	"F"	"26/11/2013"	"08:20:00"	"pre"	"31"	28.97	1	1	1.05925925925926	0.944055944055944	23.12	0.666666666666667	9	"b"	"a"
"70"	"F"	"26/11/2013"	"08:20:00"	"pre"	"31"	22.82	0	0	1.05925925925926	0	26.195	0.666666666666667	9	"a"	"b"
"79"	"F"	"26/11/2013"	"08:20:00"	"pre"	"31"	23.42	1	1	1.05925925925926	0.944055944055944	25.895	0.666666666666667	9	"a"	"b"
"43"	"F"	"26/11/2013"	"09:50:00"	"pre"	"5"	21.23	0	0	1.05925925925926	0	22.3	0.75	8	"c"	"a"
"78"	"F"	"26/11/2013"	"09:50:00"	"pre"	"5"	22.3	1	1	1.05925925925926	0.944055944055944	21.23	0.75	8	"b"	"a"
"34"	"F"	"26/11/2013"	"11:20:00"	"pre"	"52"	34.21	0	0	1.05925925925926	0	22.365	0.666666666666667	9	"a"	"a"
"39"	"F"	"26/11/2013"	"11:20:00"	"pre"	"52"	24.83	1	2	1.05925925925926	0.944055944055944	27.055	0.666666666666667	9	"c"	"a"
"84"	"F"	"26/11/2013"	"11:20:00"	"pre"	"52"	19.9	1	1	1.05925925925926	0.944055944055944	29.52	0.666666666666667	9	"b"	"a"
"87"	"F"	"27/11/2013"	"13:38:00"	"pre"	"5"	23.42	0	0	1.05925925925926	0	21.22	0.777777777777778	9	"b"	"b"
"88"	"F"	"27/11/2013"	"13:38:00"	"pre"	"5"	21.22	0	0	1.05925925925926	0	23.42	0.777777777777778	9	"c"	"c"
"70"	"F"	"27/11/2013"	"15:10:00"	"pre"	"31"	22.82	2	2	1.05925925925926	1.88811188811189	26.436	0.5	12	"c"	"b"
"91"	"F"	"27/11/2013"	"15:10:00"	"pre"	"31"	22.17	1	1	1.05925925925926	0.944055944055944	26.566	0.5	12	"b"	"b"
"92"	"F"	"27/11/2013"	"15:10:00"	"pre"	"31"	37.93	1	2	1.05925925925926	0.944055944055944	23.414	0.5	12	"b"	"a"
"94"	"F"	"27/11/2013"	"15:10:00"	"pre"	"31"	19.84	1	2	1.05925925925926	0.944055944055944	27.032	0.5	12	"b"	"b"
"69"	"F"	"27/11/2013"	"15:10:00"	"pre"	"31"	28.97	1	2	1.05925925925926	0.944055944055944	25.206	0.5	12	"b"	"c"
"97"	"F"	"27/11/2013"	"15:10:00"	"pre"	"31"	23.27	1	1	1.05925925925926	0.944055944055944	26.346	0.5	12	"a"	"b"
"34"	"F"	"27/11/2013"	"16:43:00"	"pre"	"52"	34.21	0	0	1.05925925925926	0	26.044	0.4	10	"a"	"b"
"36"	"F"	"27/11/2013"	"16:43:00"	"pre"	"52"	24.74	0	0	1.05925925925926	0	27.938	0.4	10	"b"	"c"
"98"	"F"	"27/11/2013"	"16:43:00"	"pre"	"52"	23.54	0	0	1.05925925925926	0	28.178	0.4	10	"a"	"b"
"100"	"F"	"27/11/2013"	"16:43:00"	"pre"	"52"	22.41	0	0	1.05925925925926	0	28.404	0.4	10	"a"	"a"
"102"	"F"	"27/11/2013"	"16:43:00"	"pre"	"52"	24.57	0	0	1.05925925925926	0	27.972	0.4	10	"a"	"a"
"104"	"F"	"27/11/2013"	"16:43:00"	"pre"	"52"	34.96	0	0	1.05925925925926	0	25.894	0.4	10	"b"	"b"
"69"	"F"	"28/11/2013"	"10:30:00"	"pre"	"31"	28.97	2	5	1.05925925925926	1.88811188811189	22.82	0.6	5	"c"	"b"
"70"	"F"	"28/11/2013"	"10:30:00"	"pre"	"31"	22.82	1	2	1.05925925925926	0.944055944055944	28.97	0.6	5	"a"	"c"
"62"	"F"	"28/11/2013"	"11:43:00"	"pre"	"52"	21.75	0	0	1.05925925925926	0	29.12	0.714285714285714	7	"c"	"a"
"105"	"F"	"28/11/2013"	"11:43:00"	"pre"	"52"	29.12	0	0	1.05925925925926	0	21.75	0.714285714285714	7	"a"	"a"
"104"	"F"	"29/11/2013"	"11:20:00"	"pre"	"52"	34.96	2	2	1.05925925925926	1.88811188811189	21.9975	0.615384615384615	13	"b"	"c"
"51"	"F"	"29/11/2013"	"11:20:00"	"pre"	"52"	20.26	0	0	1.05925925925926	0	25.6725	0.615384615384615	13	"a"	"b"
"84"	"F"	"29/11/2013"	"11:20:00"	"pre"	"52"	19.9	0	0	1.05925925925926	0	25.7625	0.615384615384615	13	"a"	"b"
"98"	"F"	"29/11/2013"	"11:20:00"	"pre"	"52"	23.54	0	0	1.05925925925926	0	24.8525	0.615384615384615	13	"c"	"b"
"21"	"F"	"29/11/2013"	"11:20:00"	"pre"	"52"	24.29	1	1	1.05925925925926	0.944055944055944	24.665	0.615384615384615	13	"b"	"b"
"70"	"F"	"29/11/2013"	"12:50:00"	"pre"	"31"	22.82	1	2	1.05925925925926	0.944055944055944	25.68	0.555555555555556	9	"c"	"b"
"92"	"F"	"29/11/2013"	"12:50:00"	"pre"	"31"	37.93	1	1	1.05925925925926	0.944055944055944	20.6433333333333	0.555555555555556	9	"a"	"a"
"91"	"F"	"29/11/2013"	"12:50:00"	"pre"	"31"	22.17	0	0	1.05925925925926	0	25.8966666666667	0.555555555555556	9	"b"	"a"
"113"	"F"	"29/11/2013"	"12:50:00"	"pre"	"31"	16.94	0	0	1.05925925925926	0	27.64	0.555555555555556	9	"b"	"c"
"115"	"F"	"29/11/2013"	"14:05:00"	"pre"	"5"	27.83	1	2	1.05925925925926	0.944055944055944	21.22	0.75	8	"b"	"b"
"88"	"F"	"29/11/2013"	"14:05:00"	"pre"	"5"	21.22	0	0	1.05925925925926	0	27.83	0.75	8	"a"	"b"
"44"	"F"	"30/11/2013"	"10:20:00"	"pre"	"5"	24.46	0	0	1.05925925925926	0	24.1733333333333	0.6	10	"a"	"a"
"9"	"F"	"30/11/2013"	"10:20:00"	"pre"	"5"	28.48	0	0	1.05925925925926	0	22.8333333333333	0.6	10	"c"	"b"
"117"	"F"	"30/11/2013"	"10:20:00"	"pre"	"5"	23.4	0	0	1.05925925925926	0	24.5266666666667	0.6	10	"c"	"c"
"118"	"F"	"30/11/2013"	"10:20:00"	"pre"	"5"	20.64	0	0	1.05925925925926	0	25.4466666666667	0.6	10	"b"	"a"
"91"	"F"	"30/11/2013"	"11:45:00"	"pre"	"31"	22.17	1	2	1.05925925925926	0.944055944055944	23.838	0.538461538461538	13	"c"	"b"
"70"	"F"	"30/11/2013"	"11:45:00"	"pre"	"31"	22.82	2	2	1.05925925925926	1.88811188811189	23.708	0.538461538461538	13	"a"	"c"
"76"	"F"	"30/11/2013"	"11:45:00"	"pre"	"31"	21.46	1	1	1.05925925925926	0.944055944055944	23.98	0.538461538461538	13	"c"	"a"
"94"	"F"	"30/11/2013"	"11:45:00"	"pre"	"31"	19.84	0	0	1.05925925925926	0	24.304	0.538461538461538	13	"c"	"c"
"120"	"F"	"30/11/2013"	"11:45:00"	"pre"	"31"	22.14	1	1	1.05925925925926	0.944055944055944	23.844	0.538461538461538	13	"a"	"a"
"119"	"F"	"30/11/2013"	"11:45:00"	"pre"	"31"	32.93	1	1	1.05925925925926	0.944055944055944	21.686	0.538461538461538	13	"c"	"b"
"121"	"F"	"30/11/2013"	"13:05:00"	"pre"	"53"	27.71	1	1	1.05925925925926	0.944055944055944	34.21	0.333333333333333	3	"a"	"c"
"34"	"F"	"30/11/2013"	"13:05:00"	"pre"	"53"	34.21	1	1	1.05925925925926	0.944055944055944	27.71	0.333333333333333	3	"c"	"b"
"61"	"F"	"30/11/2013"	"13:05:00"	"pre"	"52"	22.11	0	0	1.05925925925926	0	22.81	0.555555555555556	9	"a"	"a"
"37"	"F"	"30/11/2013"	"13:05:00"	"pre"	"52"	22.23	0	0	1.05925925925926	0	22.77	0.555555555555556	9	"a"	"a"
"124"	"F"	"30/11/2013"	"13:05:00"	"pre"	"52"	21.15	0	0	1.05925925925926	0	23.13	0.555555555555556	9	"b"	"a"
"125"	"F"	"30/11/2013"	"13:05:00"	"pre"	"52"	25.05	0	0	1.05925925925926	0	21.83	0.555555555555556	9	"c"	"a"
"79"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	23.42	1	2	1.05925925925926	0.944055944055944	22.84	0.529411764705882	17	"c"	"b"
"92"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	37.93	3	5	1.05925925925926	2.83216783216783	20.7671428571429	0.529411764705882	17	"c"	"c"
"94"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	19.84	0	0	1.05925925925926	0	23.3514285714286	0.529411764705882	17	"a"	"b"
"71"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	18.72	1	1	1.05925925925926	0.944055944055944	23.5114285714286	0.529411764705882	17	"b"	"c"
"70"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	22.82	2	2	1.05925925925926	1.88811188811189	22.9257142857143	0.529411764705882	17	"a"	"a"
"113"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	16.94	0	0	1.05925925925926	0	23.7657142857143	0.529411764705882	17	"a"	"a"
"91"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	22.17	0	0	1.05925925925926	0	23.0185714285714	0.529411764705882	17	"c"	"a"
"76"	"F"	"01/12/2013"	"08:34:00"	"pre"	"31"	21.46	2	3	1.05925925925926	1.88811188811189	23.12	0.529411764705882	17	"a"	"c"
"37"	"F"	"01/12/2013"	"10:00:00"	"pre"	"52"	22.23	0	0	1.05925925925926	0	28.535	0.571428571428571	7	"a"	"c"
"104"	"F"	"01/12/2013"	"10:00:00"	"pre"	"52"	34.96	1	2	1.05925925925926	0.944055944055944	22.17	0.571428571428571	7	"b"	"b"
"61"	"F"	"01/12/2013"	"10:00:00"	"pre"	"52"	22.11	1	1	1.05925925925926	0.944055944055944	28.595	0.571428571428571	7	"b"	"b"
"9"	"F"	"01/12/2013"	"11:40:00"	"pre"	"5"	28.48	1	1	1.05925925925926	0.944055944055944	24.6933333333333	0.6	10	"b"	"a"
"44"	"F"	"01/12/2013"	"11:40:00"	"pre"	"5"	24.46	1	1	1.05925925925926	0.944055944055944	26.0333333333333	0.6	10	"c"	"c"
"118"	"F"	"01/12/2013"	"11:40:00"	"pre"	"5"	20.64	1	1	1.05925925925926	0.944055944055944	27.3066666666667	0.6	10	"a"	"c"
"77"	"F"	"01/12/2013"	"11:40:00"	"pre"	"5"	28.98	0	0	1.05925925925926	0	24.5266666666667	0.6	10	"a"	"c"
"94"	"F"	"02/12/2013"	"15:25:00"	"pre"	"31"	19.84	2	2	1.05925925925926	1.88811188811189	25.825	0.727272727272727	11	"c"	"b"
"119"	"F"	"02/12/2013"	"15:25:00"	"pre"	"31"	32.93	1	1	1.05925925925926	0.944055944055944	19.28	0.727272727272727	11	"a"	"c"
"71"	"F"	"02/12/2013"	"15:25:00"	"pre"	"31"	18.72	0	0	1.05925925925926	0	26.385	0.727272727272727	11	"c"	"c"
"34"	"F"	"02/12/2013"	"17:06:00"	"pre"	"52"	34.21	1	1	1.05925925925926	0.944055944055944	16.57	0.714285714285714	7	"a"	"b"
"143"	"F"	"02/12/2013"	"17:06:00"	"pre"	"52"	16.57	0	0	1.05925925925926	0	34.21	0.714285714285714	7	"a"	"a"
"34"	"F"	"03/12/2013"	"08:55:00"	"pre"	"52"	34.21	1	1	1.05925925925926	0.944055944055944	25.03	0.769230769230769	13	"b"	"c"
"144"	"F"	"03/12/2013"	"08:55:00"	"pre"	"52"	28.91	1	3	1.05925925925926	0.944055944055944	27.68	0.769230769230769	13	"c"	"c"
"124"	"F"	"03/12/2013"	"08:55:00"	"pre"	"52"	21.15	2	2	1.05925925925926	1.88811188811189	31.56	0.769230769230769	13	"a"	"c"
"142"	"F"	"03/12/2013"	"08:55:00"	"pre"	"53"	18.76	1	1	1.05925925925926	0.944055944055944	16.57	0.5	4	"a"	"c"
"143"	"F"	"03/12/2013"	"08:55:00"	"pre"	"53"	16.57	1	1	1.05925925925926	0.944055944055944	18.76	0.5	4	"b"	"c"
"70"	"F"	"03/12/2013"	"11:08:00"	"pre"	"31"	22.82	2	3	1.05925925925926	1.88811188811189	21.915	0.615384615384615	13	"c"	"c"
"69"	"F"	"03/12/2013"	"11:08:00"	"pre"	"31"	28.97	1	1	1.05925925925926	0.944055944055944	20.3775	0.615384615384615	13	"c"	"a"
"71"	"F"	"03/12/2013"	"11:08:00"	"pre"	"31"	18.72	0	0	1.05925925925926	0	22.94	0.615384615384615	13	"a"	"b"
"149"	"F"	"03/12/2013"	"11:08:00"	"pre"	"31"	20.13	0	0	1.05925925925926	0	22.5875	0.615384615384615	13	"b"	"a"
